epoch: 1170, e_loss: 349.61, d_loss: 24.12
epoch: 1180, e_loss: 348.02, d_loss: 24.14
epoch: 1190, e_loss: 331.67, d_loss: 24.16
epoch: 1200, e_loss: 338.28, d_loss: 24.15
epoch: 1210, e_loss: 338.43, d_loss: 24.15
epoch: 1220, e_loss: 332.38, d_loss: 24.15
epoch: 1230, e_loss: 352.97, d_loss: 24.15
epoch: 1240, e_loss: 346.32, d_loss: 24.16
epoch: 1250, e_loss: 357.62, d_loss: 24.17
epoch: 1260, e_loss: 348.99, d_loss: 24.17
epoch: 1270, e_loss: 353.84, d_loss: 24.18
epoch: 1280, e_loss: 324.84, d_loss: 24.18
epoch: 1290, e_loss: 339.89, d_loss: 24.18
epoch: 1300, e_loss: 319.01, d_loss: 24.18
epoch: 1310, e_loss: 348.33, d_loss: 24.19
epoch: 1320, e_loss: 342.81, d_loss: 24.19
epoch: 1330, e_loss: 319.74, d_loss: 24.20
epoch: 1340, e_loss: 334.57, d_loss: 24.20
epoch: 1350, e_loss: 358.59, d_loss: 24.21
epoch: 1360, e_loss: 348.68, d_loss: 24.22
epoch: 1370, e_loss: 368.41, d_loss: 24.21
epoch: 1380, e_loss: 375.10, d_loss: 24.21
epoch: 1390, e_loss: 378.99, d_loss: 24.21
epoch: 1400, e_loss: 341.52, d_loss: 24.22
epoch: 1410, e_loss: 344.37, d_loss: 24.23
epoch: 1420, e_loss: 363.24, d_loss: 24.23
epoch: 1430, e_loss: 356.50, d_loss: 24.23
epoch: 1440, e_loss: 347.84, d_loss: 24.23
epoch: 1450, e_loss: 357.79, d_loss: 24.24
epoch: 1460, e_loss: 368.26, d_loss: 24.24
epoch: 1470, e_loss: 370.55, d_loss: 24.23
epoch: 1480, e_loss: 359.52, d_loss: 24.25
epoch: 1490, e_loss: 356.00, d_loss: 24.25
epoch: 1500, e_loss: 364.98, d_loss: 24.25
epoch: 1510, e_loss: 348.92, d_loss: 24.25
epoch: 1520, e_loss: 354.78, d_loss: 24.26
epoch: 1530, e_loss: 411.80, d_loss: 24.27
epoch: 1540, e_loss: 356.72, d_loss: 24.26
epoch: 1550, e_loss: 360.81, d_loss: 24.27
epoch: 1560, e_loss: 371.81, d_loss: 24.27
epoch: 1570, e_loss: 343.03, d_loss: 24.27
epoch: 1580, e_loss: 358.66, d_loss: 24.27
epoch: 1590, e_loss: 364.88, d_loss: 24.28
epoch: 1600, e_loss: 342.02, d_loss: 24.28
epoch: 1610, e_loss: 367.04, d_loss: 24.28
epoch: 1620, e_loss: 354.10, d_loss: 24.29
epoch: 1630, e_loss: 348.23, d_loss: 24.29
epoch: 1640, e_loss: 352.72, d_loss: 24.29
epoch: 1650, e_loss: 369.52, d_loss: 24.30
epoch: 1660, e_loss: 382.04, d_loss: 24.31
epoch: 1670, e_loss: 368.00, d_loss: 24.30
epoch: 1680, e_loss: 380.84, d_loss: 24.30
epoch: 1690, e_loss: 351.44, d_loss: 24.31
epoch: 1700, e_loss: 386.18, d_loss: 24.30
epoch: 1710, e_loss: 376.74, d_loss: 24.31
epoch: 1720, e_loss: 366.26, d_loss: 24.32
epoch: 1730, e_loss: 394.88, d_loss: 24.32
epoch: 1740, e_loss: 358.78, d_loss: 24.32
epoch: 1750, e_loss: 358.43, d_loss: 24.33
epoch: 1760, e_loss: 366.96, d_loss: 24.32
epoch: 1770, e_loss: 375.99, d_loss: 24.33
epoch: 1780, e_loss: 413.08, d_loss: 24.33
epoch: 1790, e_loss: 382.67, d_loss: 24.33
epoch: 1800, e_loss: 376.75, d_loss: 24.34
epoch: 1810, e_loss: 388.94, d_loss: 24.34
epoch: 1820, e_loss: 390.94, d_loss: 24.34
epoch: 1830, e_loss: 380.04, d_loss: 24.35
epoch: 1840, e_loss: 366.58, d_loss: 24.35
epoch: 1850, e_loss: 347.62, d_loss: 24.35
epoch: 1860, e_loss: 379.08, d_loss: 24.35
epoch: 1870, e_loss: 360.35, d_loss: 24.35
epoch: 1880, e_loss: 359.56, d_loss: 24.36
epoch: 1890, e_loss: 381.04, d_loss: 24.36
epoch: 1900, e_loss: 377.04, d_loss: 24.36
epoch: 1910, e_loss: 346.95, d_loss: 24.36
epoch: 1920, e_loss: 383.49, d_loss: 24.37
epoch: 1930, e_loss: 383.88, d_loss: 24.37
epoch: 1940, e_loss: 400.60, d_loss: 24.37
